project,highlighted_count_before,positive_interaction_count_before,negative_interaction_count_before,highlighted_ratio_before,independent_count_before,sig_mean_abs_delta_before,sig_median_abs_delta_before,sig_p95_abs_delta_before,sig_max_abs_delta_before,sig_mean_rel_strength_before,highlighted_count_after,positive_interaction_count_after,negative_interaction_count_after,highlighted_ratio_after,independent_count_after,sig_mean_abs_delta_after,sig_median_abs_delta_after,sig_p95_abs_delta_after,sig_max_abs_delta_after,sig_mean_rel_strength_after,highlighted_delta,positive_delta,negative_delta,highlighted_ratio_delta
regex,1034,422,612,0.6228915662650603,626,0.7671135687330257,0.6097451983564177,1.8142182064408916,2.126967503916131,0.6390352503080118,902,394,508,0.5433734939759036,758,0.8223565438845813,0.662649683411566,1.8581616008685349,2.126967503916131,0.6787379219988241,-132,-28,-104,-0.07951807228915664
hyper,702,124,578,0.4228915662650602,958,0.0342194937762799,0.0283953321120291,0.0748396963152815,0.1481215316842772,0.0335622332416765,577,86,491,0.3475903614457831,1083,0.0378183277865483,0.0314749408017744,0.0777560706856631,0.1481215316842772,0.0370326934464943,-125,-38,-87,-0.0753012048192771
bat,829,669,160,0.4993975903614457,831,0.0266448466383409,0.0141910433260501,0.1763882567896565,0.4237032331406114,0.0253704342698476,706,569,137,0.4253012048192771,954,0.0296859428836617,0.0151865188408128,0.1856183261195783,0.4237032331406114,0.0281844362585281,-123,-100,-23,-0.07409638554216863
iterator_pipeline_bench,1147,769,378,0.6909638554216867,513,0.0954247623306794,0.0953278904997363,0.1814833239445176,0.2377330105105441,0.0969943689007544,1089,760,329,0.6560240963855422,571,0.09911628164136,0.0963894137925425,0.1841571016114119,0.2377330105105441,0.1007791727220504,-58,-9,-49,-0.034939759036144546
aggregate_scalarization_bench,1088,157,931,0.655421686746988,572,0.0396530951402829,0.0281504796316214,0.1292700486446473,0.1503784171994995,0.0384425430245061,1035,134,901,0.6234939759036144,625,0.0408811018487252,0.0289003762089013,0.1308064981946447,0.1503784171994995,0.0396116173554554,-53,-23,-30,-0.031927710843373536
rustls,46,31,15,0.0277108433734939,1614,0.0047668263681708,0.0038494484999598,0.0080692848879526,0.0228898397084713,0.0047613368347505,0,0,0,0.0,1660,,,,,,-46,-31,-15,-0.0277108433734939
tokio,1197,1197,0,0.7210843373493976,463,0.032807103445849,0.0304846570011858,0.0537506137732653,0.0981357733163132,0.0334311452738604,1164,1164,0,0.7012048192771084,496,0.0329657522178894,0.0305850966989529,0.0538894910137894,0.0981357733163132,0.0335960389404295,-33,-33,0,-0.01987951807228916
eza,1424,202,1222,0.8578313253012049,236,0.0755247196971958,0.0746493417638713,0.1182633450076009,0.1655912364514127,0.0731026556516325,1403,198,1205,0.8451807228915663,257,0.0761034734797659,0.0750321825362361,0.1183781470445628,0.1655912364514127,0.0736509715285466,-21,-4,-17,-0.012650602409638556
ripgrep,1341,1069,272,0.8078313253012048,319,0.1756316960137987,0.1898238052678351,0.3838405844198531,0.5124742358230439,0.1931808419458733,1322,1055,267,0.7963855421686747,338,0.1775714490199657,0.1907296257795709,0.385628514266546,0.5124742358230439,0.1953620867439907,-19,-14,-5,-0.011445783132530085
loop_hoisting_bench,1331,611,720,0.8018072289156627,329,0.0639750739113129,0.0449317446959921,0.1961687257881049,0.2802380209610826,0.0616730398866569,1315,605,710,0.7921686746987951,345,0.0646081956335421,0.0455150800825586,0.1967002936502625,0.2802380209610826,0.0622782103410671,-16,-6,-10,-0.009638554216867545
branch_cfg_bench,1613,1600,13,0.9716867469879518,47,0.079499140918194,0.0798111649315331,0.0821127225710971,0.1375569813937716,0.08271261469838,1611,1599,12,0.9704819277108434,49,0.0795316944759061,0.0798120122988628,0.08211381496523,0.1375569813937716,0.0827492841599318,-2,-1,-1,-0.00120481927710836
async_state_machine_bench,1660,0,1660,1.0,0,0.1407653865465237,0.1365468318754741,0.1970258667330272,0.3879570266465071,0.1311532229067891,1660,0,1660,1.0,0,0.1407653865465237,0.1365468318754741,0.1970258667330272,0.3879570266465071,0.1311532229067891,0,0,0,0.0
trait_test,1660,0,1660,1.0,0,0.8572088388975981,0.8568382939501462,0.8632942694115291,1.0906090948400364,0.5755956915166456,1660,0,1660,1.0,0,0.8572088388975981,0.8568382939501462,0.8632942694115291,1.0906090948400364,0.5755956915166456,0,0,0,0.0
