workload,top_mir_pass,top_mir_share,other_share
bat,ReferencePropagation,0.039270,0.706848
aho-corasick,UnreachableEnumBranching,0.078488,0.574286
tokio,DeadStoreElimination-initial,0.064574,0.519183
regex,UnreachableEnumBranching,0.061237,0.512282
serde,UnreachablePropagation,0.055719,0.503101
rustls,DeadStoreElimination-initial,0.080129,0.467128
image,UnreachablePropagation,0.076184,0.455291
ripgrep,ForceInline,0.092490,0.453140
eza,UnreachablePropagation,0.146288,0.442401
hyper,MatchBranchSimplification,0.133915,0.411069
quinn,DataflowConstProp,0.237410,0.401267
fast_image_resize,MatchBranchSimplification,0.101854,0.384822
