workload,K,unique_mir_in_topk,top3_count_share,top5_absdelta_share,top1_mir,top1_count_share
bat,50,4,0.980000,1.000000,Inline,0.620000
bat,100,13,0.680000,0.958577,Inline,0.340000
eza,50,11,0.620000,0.792538,DeadStoreElimination-initial,0.320000
eza,100,11,0.560000,0.730059,DeadStoreElimination-initial,0.280000
hyper,50,4,0.920000,1.000000,MatchBranchSimplification,0.500000
hyper,100,6,0.920000,0.991432,MatchBranchSimplification,0.580000
regex,50,11,0.460000,0.679812,Inline,0.240000
regex,100,16,0.410000,0.591785,Inline,0.200000
ripgrep,50,6,0.760000,0.981685,ForceInline,0.300000
ripgrep,100,10,0.540000,0.831770,ForceInline,0.190000
rustls,50,15,0.600000,0.709232,EarlyOtherwiseBranch,0.360000
rustls,100,18,0.530000,0.635929,EarlyOtherwiseBranch,0.300000
tokio,50,12,0.520000,0.721402,Inline,0.280000
tokio,100,16,0.390000,0.603277,Inline,0.180000
