ConfigName,Case,Group,RunCount,LLVM_Pass,MIR_Pass,baseline_config,BinarySize(Bytes)_med,BinarySize(Bytes)_delta,BinarySize(Bytes)_delta_pct,TotalRuntime(s)_med,TotalRuntime(s)_delta,TotalRuntime(s)_delta_pct,CompileTime(s)_med,CompileTime(s)_delta,CompileTime(s)_delta_pct,NsPerIter_med,NsPerIter_delta,NsPerIter_delta_pct,MBps_med,MBps_delta,MBps_delta_pct,VectorizeRemarkCount_med,VectorizeRemarkCount_delta,VectorizeRemarkCount_delta_pct,MIR_BBCount_med,MIR_BBCount_delta,MIR_BBCount_delta_pct,MIR_LocalCount_med,MIR_LocalCount_delta,MIR_LocalCount_delta_pct,LLVMIR_Vectorized_med,LLVMIR_Vectorized_delta,LLVMIR_Vectorized_delta_pct,LLVMIR_VectorWidth_med,LLVMIR_VectorWidth_delta,LLVMIR_VectorWidth_delta_pct
EXP_DBL_0810,mir_dependent_case,Matrix,3,nofree-inference,ImpossiblePredicates,EXP_000_DEFAULT,493536.0,0.0,0.0,3.857317,-0.38290199999999963,-9.030241126696515,1.088647,-0.29745600000000016,-21.459877079841842,640674.0,-63423.0,-9.00770774481357,13093.0,1180.0,9.905145639217663,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1581,mir_dependent_case,Matrix,3,loop-idiom-vectorize-all,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,3.868097,-0.3721219999999996,-8.776008975008121,1.310847,-0.07525599999999999,-5.4293223519464275,642852.0,-61245.0,-8.698375365894188,13049.0,1136.0,9.535801225551918,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0658,mir_dependent_case,Matrix,3,mr-partial-inlining,ForceInline,EXP_000_DEFAULT,493536.0,0.0,0.0,3.868847,-0.3713719999999996,-8.758321209352621,1.174621,-0.21148200000000017,-15.25730771811331,642840.0,-61257.0,-8.700079676521844,13049.0,1136.0,9.535801225551918,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0666,mir_dependent_case,Matrix,3,expand-reductions,GVN,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,3.873293,-0.36692599999999986,-8.653468134546822,1.040463,-0.34564000000000017,-24.936097822456208,643441.0,-60656.0,-8.614722119253456,13037.0,1124.0,9.435070930915806,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1507,mir_dependent_case,Matrix,3,lsr,UnreachableEnumBranching,EXP_000_DEFAULT,493408.0,-128.0,-0.025935291447837645,3.891677,-0.3485419999999997,-8.219905622799192,1.203035,-0.183068,-13.207387906959294,646008.0,-58089.0,-8.250141670820923,12985.0,1072.0,8.998572987492654,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1486,mir_dependent_case,Matrix,3,dfa-sched,SingleUseConsts,EXP_000_DEFAULT,493536.0,0.0,0.0,3.900272,-0.33994699999999956,-8.017203828387155,1.563615,0.1775119999999999,12.806551894051154,647825.0,-56272.0,-7.99208063661683,12948.0,1035.0,8.687987912364644,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1557,mir_dependent_case,Matrix,3,nofree-inference,UnreachableEnumBranching,EXP_000_DEFAULT,493536.0,0.0,0.0,3.912,-0.3282189999999998,-7.740614340910218,1.39326,0.007156999999999858,0.5163396948134343,650218.0,-53879.0,-7.652212692285295,12901.0,988.0,8.293460925039872,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0975,mir_dependent_case,Matrix,3,layout-fsprofile-loader,InstSimplify-after-simplifycfg,EXP_000_DEFAULT,493536.0,0.0,0.0,3.914616,-0.32560299999999964,-7.678919414303828,1.184173,-0.20193000000000016,-14.56818144106175,646544.0,-57553.0,-8.174015796119,12974.0,1061.0,8.90623688407622,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1654,mir_dependent_case,Matrix,3,mr-partial-inlining,UnreachablePropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,3.915553,-0.3246659999999997,-7.656821499078224,1.296184,-0.08991900000000008,-6.487180245623887,650654.0,-53443.0,-7.590289406147164,12892.0,979.0,8.21791320406279,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1590,mir_dependent_case,Matrix,3,lsr,UnreachablePropagation,EXP_000_DEFAULT,493408.0,-128.0,-0.025935291447837645,3.919756,-0.3204629999999997,-7.557699260344801,1.345637,-0.04046600000000011,-2.919407865072084,651185.0,-52912.0,-7.51487366087343,12882.0,969.0,8.133971291866029,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1540,mir_dependent_case,Matrix,3,machine-dce,UnreachableEnumBranching,EXP_000_DEFAULT,493504.0,-32.0,-0.006483822861959411,3.92022,-0.3199989999999997,-7.546756429325932,1.650391,0.26428799999999986,19.066981313798458,650991.0,-53106.0,-7.542426682687187,12885.0,972.0,8.159153865525056,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0336,mir_dependent_case,Matrix,3,loop-idiom-vectorize-all,DestinationPropagation,EXP_000_DEFAULT,493536.0,0.0,0.0,3.922276,-0.31794299999999964,-7.498268367742318,1.38228,-0.003823000000000132,-0.27580922918427647,651572.0,-52525.0,-7.459909643131557,12874.0,961.0,8.06681776210862,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1502,mir_dependent_case,Matrix,3,vector-combine,UnreachableEnumBranching,EXP_000_DEFAULT,493536.0,0.0,0.0,3.92555,-0.31466899999999987,-7.42105537473418,1.232943,-0.15316000000000018,-11.049683897949876,651823.0,-52274.0,-7.42426114583644,12869.0,956.0,8.024846806010242,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1493,mir_dependent_case,Matrix,3,spill-fusing,SingleUseConsts,EXP_000_DEFAULT,493584.0,48.0,0.009725734292939117,3.926673,-0.31354599999999966,-7.394570893626005,1.361011,-0.025092000000000114,-1.8102550820537948,652387.0,-51710.0,-7.344158546336656,12858.0,945.0,7.932510702593805,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0708,mir_dependent_case,Matrix,3,icp,GVN,EXP_000_DEFAULT,493536.0,0.0,0.0,3.927968,-0.31225099999999983,-7.364030018260846,1.087079,-0.2990240000000002,-21.572999986292515,652550.0,-51547.0,-7.321008326977675,12855.0,942.0,7.907328128934778,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_0913,mir_dependent_case,Matrix,3,strictnode-mutation,Inline,EXP_000_DEFAULT,493568.0,32.0,0.006483822861959411,3.928963,-0.31125599999999976,-7.34056424915788,1.11626,-0.26984300000000006,-19.46774518199586,652231.0,-51866.0,-7.36631458449617,12861.0,948.0,7.957693276252834,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1457,mir_dependent_case,Matrix,3,machine-dce,SingleUseConsts,EXP_000_DEFAULT,493504.0,-32.0,-0.006483822861959411,3.933013,-0.30720599999999987,-7.245050314618181,1.235278,-0.150825,-10.881225998356541,653195.0,-50902.0,-7.229401630741219,12842.0,929.0,7.798203643078989,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1056,mir_dependent_case,Matrix,3,global-outlining,InstSimplify-before-inline,EXP_000_DEFAULT,493536.0,0.0,0.0,3.93418,-0.30603899999999973,-7.217528151258219,1.284289,-0.10181400000000007,-7.345341579954741,653511.0,-50586.0,-7.184521450879637,12836.0,923.0,7.747838495760933,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1043,mir_dependent_case,Matrix,3,machine-sink,InstSimplify-before-inline,EXP_000_DEFAULT,493424.0,-112.0,-0.022693380016857938,3.936546,-0.30367299999999986,-7.161729146537003,1.3115,-0.07460299999999997,-5.382211855828894,648830.0,-55267.0,-7.849344621550723,12928.0,1015.0,8.520104087971124,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
EXP_DBL_1035,mir_dependent_case,Matrix,3,cleanups,InstSimplify-before-inline,EXP_000_DEFAULT,493536.0,0.0,0.0,3.940564,-0.29965499999999956,-7.066969889998596,1.396848,0.010745000000000005,0.77519491697226,654724.0,-49373.0,-7.012244051600845,12812.0,899.0,7.54637790648871,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,
