ConfigName,MIR_Pass,LLVM_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct
EXP_DBL_0859,Inline,ifcvt-triangle-false,3,7.953666,50.002994,43210432.0,-9.838634531870108,1.356603253867016,0.12206381833789674
EXP_DBL_1123,JumpThreading,icp,3,7.975526,44.207781,43404024.0,-9.590833398514329,-10.39035543449978,0.5706321311638289
EXP_DBL_1121,JumpThreading,demotion,3,7.991952,43.73686,43404024.0,-9.404631137924117,-11.344917334551486,0.5706321311638289
EXP_DBL_1119,JumpThreading,constant-hoisting,3,8.032504,43.340048,43397064.0,-8.944940764646747,-12.149259499550109,0.5545052485588221
EXP_DBL_0879,Inline,non-allocatable-phys-copy-opt,3,8.057812,49.123329,43210432.0,-8.65805370687144,-0.4264871027086964,0.12206381833789674
EXP_DBL_0881,Inline,postra-machine-sink,3,8.120799,49.137281,43208168.0,-7.944044100893382,-0.3982062495942151,0.11681794732960141
EXP_DBL_1096,JumpThreading,block-placement,3,8.129022,49.154134,42791176.0,-7.8508296123487895,-0.36404503847479347,-0.8493862238237062
EXP_DBL_0515,EnumSizeOpt,block-placement,3,8.21296,46.333547,43239376.0,-6.899323137892373,-6.081405032998614,0.1891294059987184
EXP_DBL_0882,Inline,preinline,3,8.281391,49.067154,43210432.0,-6.123601300899284,-0.5403544280889643,0.12206381833789674
EXP_DBL_0930,InstSimplify-after-simplifycfg,block-placement,3,8.285287,48.083118,43202360.0,-6.079436926903202,-2.5350059171482515,0.10336034184542328
EXP_DBL_0847,Inline,block-placement,3,8.468723,49.684248,42537968.0,-4.00003854180482,0.7105017052125987,-1.4360896276525248
