idx,MIR_Disabled,LLVM_Disabled,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Penalty,Status
1,,,626608,16.5563,0.5943958722054958,0.0,Success
2,SingleUseConsts,,626608,16.727,0.5985636152327061,0.0,Success
3,,cfi-fixup,626608,16.651699999999998,6.227091804146767,0.0,Success
4,SingleUseConsts,cfi-fixup,626608,16.4602,5.872382987290621,0.0,Success
5,InstSimplify-after-simplifycfg,,626776,16.8328,0.5420661517418921,0.0,Success
6,,branch-fold,627216,16.7739,1.0364728919230402,0.0,Success
7,,mr-partial-inlining,626608,16.4068,0.3917781258933246,0.0,Success
8,GVN,,626680,17.2994,1.739944949746132,0.0,Success
9,DeadStoreElimination-final,,626704,16.7929,6.03428339632228,0.0,Success
10,,bitcode-version-upgrade,626608,16.434,0.4957102593034506,0.0,Success
11,,block-placement,623344,16.6841,12.407173095270991,0.0,Success
12,,spill-fusing,626928,16.6527,12.37898574769497,0.0,Success
13,,replace-with-vec-lib,626608,16.4813,12.07265412202105,0.0,Success
14,JumpThreading,,627464,17.4525,12.859737368766218,0.0,Success
15,,gep-const-evaluation,626608,16.6355,11.962508033029735,0.0,Success
16,,complex-addr-modes,626608,16.792099999999998,6.500381194986403,0.0,Success
17,,partial-inlining,626608,16.3657,6.214904927182943,0.0,Success
18,,loop-idiom-vectorize-all,626608,16.4331,12.121473716106266,0.0,Success
19,,select-optimize,626608,16.4179,12.639695318881422,0.0,Success
20,,adv-copy-opt,626608,16.3592,12.673203971236944,0.0,Success
21,ReferencePropagation,,626416,16.568199999999997,13.213240721262991,0.0,Success
22,MatchBranchSimplification,,626648,16.525199999999998,13.188886803109199,0.0,Success
23,,cgp-store-extract,626608,16.5536,12.27722203405574,0.0,Success
24,JumpThreading;SingleUseConsts,,627464,17.221799999999998,13.11652631079778,0.0,Success
25,InstSimplify-after-simplifycfg;JumpThreading,gep-const-evaluation;mr-partial-inlining,627400,17.506,13.849207404069602,0.00116489301,Success
26,DeadStoreElimination-final;InstSimplify-after-simplifycfg,branch-fold,627328,16.9206,14.082134619355202,0.00330803176,Success
27,GVN,block-placement,623368,17.1501,13.602622616104782,0.0004518764,Success
28,ReferencePropagation,block-placement;branch-fold,631424,18.3932,13.872833654284477,0.0005864388000000001,Success
29,GVN,cgp-store-extract,626680,17.1635,13.830216470174491,0.0,Success
30,GVN;InstSimplify-after-simplifycfg,bitcode-version-upgrade;complex-addr-modes,627144,17.3325,14.23831300623715,0.00142414,Success
31,InstSimplify-after-simplifycfg,bitcode-version-upgrade;branch-fold;complex-addr-modes,627464,16.6087,13.447259507142007,0.00279793,Success
32,SingleUseConsts,branch-fold;cgp-store-extract,627216,16.657600000000002,13.624239773023874,0.0005021130699999999,Success
33,GVN,branch-fold,627304,17.1213,0.7724553248845041,0.00275539,Success
34,DeadStoreElimination-final;SingleUseConsts,branch-fold,627832,17.0643,14.229983654804528,0.00069234976,Success
35,ReferencePropagation,branch-fold,627024,16.4939,14.198684494942427,0.0,Success
36,InstSimplify-after-simplifycfg,branch-fold,627464,16.5387,0.7738424330018461,0.00279793,Success
37,InstSimplify-after-simplifycfg,block-placement;branch-fold,0,0.0,2.109556223731488,0.00279793,BuildFailed
38,DeadStoreElimination-final;InstSimplify-after-simplifycfg;JumpThreading;SingleUseConsts,,627408,17.7541,13.622725598979741,0.0,Success
39,InstSimplify-after-simplifycfg;SingleUseConsts,branch-fold;partial-inlining,627464,16.5316,13.256555772852153,0.002980178,Success
40,GVN;ReferencePropagation,branch-fold,627688,17.4009,12.825934304855764,0.00275539,Success
41,DeadStoreElimination-final;JumpThreading,block-placement,624352,17.1953,13.012610847596079,0.0,Success
42,GVN;InstSimplify-after-simplifycfg,,627144,17.397199999999998,12.942751820199192,0.0,Success
43,GVN,bitcode-version-upgrade,626680,17.3043,13.711015773005784,0.00142414,Success
44,GVN,replace-with-vec-lib,626680,17.3367,13.948523519095033,9.949263999999999e-05,Success
45,,branch-fold;gep-const-evaluation,627216,17.6956,14.312965838238597,0.0,Success
46,MatchBranchSimplification;SingleUseConsts,,626648,16.448900000000002,21.684261904098094,0.0,Success
47,GVN;InstSimplify-after-simplifycfg,branch-fold,627768,17.406599999999997,13.588255134876817,0.0055533200000000005,Success
48,InstSimplify-after-simplifycfg,bitcode-version-upgrade;branch-fold,627464,16.7293,13.84280633693561,0.00279793,Success
49,GVN;InstSimplify-after-simplifycfg;SingleUseConsts,branch-fold,627736,17.3902,13.421666021924466,0.005735568000000001,Success
50,InstSimplify-after-simplifycfg,spill-fusing,627080,16.7807,13.227044847793877,0.0,Success
